Title,Popularity,VoteCount,VoteAverage,Genre
Encanto,464.237,7585,7.7,fantasy
The Batman,432.362,6793,7.7,thriller
Doctor Strange in the Multiverse of Madness,519.359,6359,7.4,adventure
Doctor Strange in the Multiverse of Madness,519.359,6359,7.4,action
Doctor Strange in the Multiverse of Madness,519.359,6359,7.4,sf
Top Gun: Maverick,686.014,4809,8.3,drama
Thor: Love and Thunder,781.456,4713,6.7,fantasy
Prey,662.599,4644,7.9,action
Jurassic World Dominion,741.956,3873,7,adventure
Jurassic World Dominion,741.956,3873,7,action
Jurassic World Dominion,741.956,3873,7,sf
Turning Red,457.519,3538,7.5,fantasy
Sonic the Hedgehog 2,593.602,3369,7.6,adventure
Sonic the Hedgehog 2,593.602,3369,7.6,action
Sonic the Hedgehog 2,593.602,3369,7.6,comedy
Sonic the Hedgehog 2,593.602,3369,7.6,family
The Black Phone,399.652,3111,7.9,horror
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,476.561,2790,8.3,adventure
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,476.561,2790,8.3,action
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,476.561,2790,8.3,fantasy
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,476.561,2790,8.3,animation
Bullet Train,695.661,2397,7.5,action
Minions: The Rise of Gru,630.19,2330,7.5,animation
The Lost City,331.111,2233,6.7,adventure
The Lost City,331.111,2233,6.7,action
The Lost City,331.111,2233,6.7,comedy
The Lost City,331.111,2233,6.7,family
Dragon Ball Super: Super Hero,589.266,2040,8,animation
Fall,1154.597,1771,7.3,thriller
Samaritan,405.413,1405,6.9,drama
Black Adam,22201.949,1387,6.9,fantasy
Orphan: First Kill,850.145,1313,6.8,horror
Hotel Transylvania: Transformania,368.658,1286,7.1,adventure
Hotel Transylvania: Transformania,368.658,1286,7.1,fantasy
Hotel Transylvania: Transformania,368.658,1286,7.1,animation
Hotel Transylvania: Transformania,368.658,1286,7.1,comedy
Hocus Pocus 2,707.963,1130,7.5,fantasy
Pinocchio,744.42,1095,6.7,adventure
Pinocchio,744.42,1095,6.7,fantasy
Pinocchio,744.42,1095,6.7,family
Terrifier,493.328,1038,6.6,horror
Enola Holmes 2,1419.903,1038,7.7,adventure
Don't Worry Darling,360.384,999,6.9,thriller
Halloween Ends,418.818,964,6.5,horror
DC League of Super-Pets,526.023,944,7.5,animation
Luck,665.493,924,7.9,adventure
Luck,665.493,924,7.9,fantasy
Luck,665.493,924,7.9,animation
Luck,665.493,924,7.9,comedy
Black Panther: Wakanda Forever,3237.882,924,7.5,adventure
